customer_id,customer_name,customer_type,gender,dob,address,city,state,zip_code,country,phone,email,id_type,id_number,id_country,registration_date,account_status,account_balance,customer_tier
1051,"Toulouse, Leigh",I,,1/2/85,,,,,,,,PASSPORT,483290175,US,1/8/18,Active,100,
1052,"Toulouse, Lea",I,,,,,,,,,,PASSPORT,483290175,US,1/9/18,Active,200,
1053,"Smith, Beau",I,,,"6371 E Foothill Dr, Orroville, CA ",,,,,,,PASSPORT,72129291,CA,1/10/18,Active,300,
1054,"Smith, Magdalena",I,,24-May-11,"6371 E Foothill Dr, Orroville, CA 95915",,,,,,,DRIVERS_LICENSE,93939211,CA,1/11/18,Active,400,
1055,Beau,I,,,"6371 E Foothill Dr, 95915",,,,,,,PASSPORT,72129291,CAN,1/12/18,Active,500,
1056,"Jones, Magdalena",I,,5/24/11,"6371 E Foothill Dr, Orroville, CA ",,,,,,,DRIVERS_LICENSE,93939211,CA,1/13/18,Active,600,
1057,"Jones, Jay",I,,,,,,,,,jjones@jones.com,,,,1/14/18,Active,700,
1058,"Jay, Jones",I,,,,,,,,,"""Jay Jones"" <jjones@fmail.com>",,,,1/15/18,Active,800,
1059,"Roderick, Ray",I,,,,,,,,971-421-8250,,,,,1/16/18,Active,900,
1060,"Roderick, R",I,,,,,,,,9714218250,,,,,1/17/18,Active,100,
1061,Andreason,I,,,,,,,,(807) 422-9031,,,,,1/18/18,Active,200,
1062,Andreason,I,,,,,,,,807-422-9031,,,,,1/19/18,Active,300,
1063,"Mooney, Susan",I,,6/15/98,,,,,,,,,,,1/20/18,Active,400,
1064,"Mooney, Susanne",I,,6/15/98,,,,,,,,PASSPORT,1231345345,US,1/21/18,Active,500,
1065,"Mooney, Susan",I,,,,,,,,,,DRIVERS_LICENSE,8923322,OR,1/22/18,Active,600,
1066,"Mooney, Susan",I,,,,,,,,,,DRIVERS_LICENSE,8923322,OR,1/23/18,Active,700,
1067,"Moonie, Susan",I,,,"638 Downey St, Salem, OR",,,,,,,SSN,521212123,US,1/24/18,Active,800,
1068,"Moony, Susan",I,,,"Adventura Aparments 638 Downey St, Salem, OR",,,,,,,,,,1/25/18,Active,900,
1070,"Wang, Jie",I,Male,9/14/93,12 Constitution Street ,,,,,,,NATIONAL_ID,832721,Hong Kong,1/27/18,Active,200,
1072,"Wang, Wei",I,Female,9/14/97,"169 3rd Ave. Camden, NJ 08030",,,,,,,NATIONAL_ID,7123833,China,1/29/18,Active,400,
1074,"Zhang, Wei",I,Male,2/8/06,"173 John Lane, 08030",,,,,,,,,,1/31/18,Active,600,
1076,"Zhang, Xiu Ying",I,Female,4/2/31,"329 Leatherwood Street, Las Vegas, NV",,,,,,,,,,1/3/18,Active,800,
1078,"Liu, Jie",I,Unknown,25-Jun-08,37 Campfire St. ,,,,,,,,,,1/5/18,Active,100,
1079,"Brown, Jeffrey",I,U,6/21/82,,,,,,,,SSN,3241,US,1/6/18,Active,200,
1080,"Brown Jr, Geoffrey",I,M,6/21/82,,,,,,,,SSN,3241,US,1/7/18,Active,300,
1081,"Frankens, George",I,,15-Mar-92,"Ansbacher Strasse 23, 56422 Dusseldorf",,,56244,,,,PASSPORT,234456456,DE,1/8/18,Active,400,
1082,"Frankens, Georg",I,,15-Mar-92,23 Ansbacher Street,Dusseldorf,,56244,Germany,,,PASSPORT,234456456,Germany,1/9/18,Active,500,
1083,"Klempski, Morris",I,,17-May-90,"Skyline Apartments, 705 Sheppard Ave",Toronto,,M1S 1T4,,,,PASSPORT,34543555,CA,1/10/18,Active,600,
1084,"Klempsky, Morrie",I,,17-May-90,705 Sheppard Ave,Toronto,,M1S 1T4,CAN,,,PASSPORT,34543555,Canada,1/11/18,Active,700,
1085,"D'esquire, Ellie",I,,19-Feb-91,,,,,,0352 6553537,dellie@fmail.com,,,,1/12/18,Active,800,
1086,"Desqueir, Ellie",I,,19-Feb-91,,,,,,+39 0352 6553537,dellie@fmail.com,,,,1/13/18,Active,900,
1087,"Wiest, George",I,M,3/12/87,,,,,,702-221-2412,pfranks@ishmail.com,,,,1/14/18,Active,100,
1088,"Weest, George",I,F,3/12/87,,,,,,221-2412,pfranks@ishmail.com,,,,1/15/18,Active,200,
1089,"Klein, Morris I",I,,4/12/82,,,,,,,,,,,1/16/18,Active,300,
1090,"Klein, Morris II",I,,4/12/82,,,,,,,,,,,1/17/18,Active,400,
1091,"Ohare, Ellie",I,,8/15/67,,,,,,0352 6553537,ellie.ohare@fmail.com,,,,1/18/18,Active,500,
1092,"O'hare, Ellie",I,,8/15/67,,,,,,+39 0352 6553537,ellie.ohare@fmail.com,,,,1/19/18,Active,600,
1093,"Anderson, Amanda",I,,3/12/87,,,,,,,,DRIVERS_LICENSE,73423499,MN,1/20/18,Active,700,
1094,"Jones, Amanda",I,,3/12/87,,,,,,,,DRIVERS_LICENSE,73423499,MN,1/21/18,Active,800,
1095,"Aguilar, Juan",I,Male,4/12/82,,,,,,,,DRIVERS_LICENSE,234234455,MN,1/22/18,Active,900,
1096,"Aguilar, Juann",I,,4/12/82,,,,,,,,DRIVERS_LICENSE,234234455,MN,1/23/18,Active,100,
1097,"Sanchez, Marie",I,,,P.O. Box 12987,Andersonville,IL,60611,,,mickey@mmail.com,,,,1/24/18,Active,200,
1098,"Sanchez Mendoza, Marie",I,,,PO BOX 12987,Chicago,IL,60611,,,mickey@mmail.com,,,,1/25/18,Active,300,
1099,"Aguilar, Anna Maria",I,Female,,1812 Overture way,Chicago,IL,,,,mouse@mmail.com,,,,1/26/18,Active,400,
1100,"Aguilar, Anna Marie",I,Unknown,,9881 Freedom way,Chicago,IL,,,,mouse@mmail.com,,,,1/27/18,Active,500,
1101,"Miller, Mark",I,,,,,,,,,mark@marksfoods.com,,,,1/28/18,Active,600,
1102,"Milner, Mark",I,,,,,,,,,mark@marksfoods.com,,,,1/29/18,Active,700,
1103,"Becker, Anabella",I,U,,,,,,,,,DRIVERS_LICENSE,823123,TX,1/30/18,Active,800,
1104,"Becker, Annabelle",I,F,,,,,,,,,DRIVERS_LICENSE,823123,Texas,1/31/18,Active,900,
2011,Hajah Mamunah (Jln Pisang),C,,,"#01-11, HillV2, 4 Hillview Rise, 667979",,,,Singapore,,,,,,1/31/18,Inactive,,Platinum
2031,"គឹម, តារា",I,,,"No 321, Street 128 Phnom Penh Cambodia",,,,,,,,,,3/15/1992,Active,,Gold
2032,"Kim, Dara",I,,,"#321, Street 128",Phnom Penh,,,Cambodia,,,,,,3/12/1998,Active,,Silver
2042,Mullenkrants Autoworks,C,,,Hardenbergstrasse 87,,,66879,Germany,,,,,,3/15/2019,Terminated,,Platinum
2063,Alexander Pavlovich Vasiliev,I,,,,,,,,481-285-6234,,,,,1/15/2000,Active,,Platinum
2072,Univrsl Export Inc,C,,,100 Howard Hughs Plaza,Las Vegas,NV,89111,,800-111-1234,,,,,6/15/2005,Active,,Silver
2073,Worldwide Exports,C,,,"Chrysler Building, 405 Lexington Avenue",New York,NY,10174,,,,,,,12/10/2020,Active,,Platinum
2142,Singapore exports,C,,,"133 New Bridge Road, Chinatown Point, Singapore 059413",,,,Singapore,,,,,,2/4/2012,Active,,Silver
2152,India Exports,C,,,"Mullanpara Road, Old Vythiri, Vythiri, Wayanad, 673576, India",,,,,+91 4936 202565,,,,,3/1/2010,Active,,Gold
2171,"Anderson, Andrew",I,,,,,,,,,info@ca-state.gov,,,,,,,
2172,"Anderson, Andy",I,,,,,,,,,info@ca-state.gov,,,,,,,
2181,"Anderson, Anna",I,,,,,,,,702-221-2211,info@ca-state.gov,,,,,,,
2182,"Anderson, Annabelle",I,,,,,,,,702-221-2211,info@ca-state.gov,,,,,,,
2191,"Muir, Jim",I,,1997-11-12,12396 Austin Rd,Sacramento,CA,95823,,,info@ca-state.gov,,,,,,,
2192,"Muir, Jane",I,,1999-12-10,12396 Austin Rd,Sacramento,CA,95823,,,info@ca-state.gov,,,,,,,
2193,"Muir, J",I,,1999-12-10,12396 Austin Rd,Sacramento,CA,95823,,,info@ca-state.gov,,,,,,,
2201,"Swarm, Jorg",I,,,127 14th Ave,Elmwood Park,CA,95865,,,info@ca-state.gov,,,,,,,
2202,"Barge, Jorge",I,,,4362 Belmont Lane,Elmwood Park,CA,95865,,,info@ca-state.gov,,,,,,,
2203,"Gray, Gaston",I,,,1376 BlueBell Road,Sacramento,CA,95823,,,info@ca-state.gov,,,,,,,
2204,"Howard, Henry",I,,,538 Blanco St,Sacramento,CA,95823,,,info@ca-state.gov,,,,,,,
2205,"Inverness, Inez",I,,,2516 BentTree Ln,Sacramento,CA,95823,,,info@ca-state.gov,,,,,,,
2206,"Jackson, Julia",I,,,319 Cody Road,Elmwood Park,CA,95865,,,info@ca-state.gov,,,,,,,
2207,"Kellar, Kandace",I,,,1824 AspenOak Way,Elmwood Park,CA,95865,,,info@ca-state.gov,,,,,,,
2208,"Leonard, Leslie",I,,,4362 Belmont Lane,Elmwood Park,CA,95865,,,info@ca-state.gov,,,,,,,
2209,"Miller, Millie",I,,,1376 BlueBell Road,Sacramento,CA,95823,,,info@ca-state.gov,,,,,,,
2210,"Nice, Nelson",I,,,319 Cody Road,Elmwood Park,CA,95865,,,info@ca-state.gov,,,,,,,
2211,"Otter, Otto",I,,,1824 AspenOak Way,Elmwood Park,CA,95865,,,info@ca-state.gov,,,,,,,
2212,"Pemberton, Penny",I,,,1824 AspenOak Way,Elmwood Park,CA,95823,,,info@ca-state.gov,,,,,,,
2213,"Kellar, Candace",I,,,1824 AspenOak Way,Elmwood Park,CA,95865,,,info@ca-state.gov,,,,,,,
2214,"Sanders, Sandy",I,,,1376 BlueBell Rd,Sacramento,CA,95823,,,info@ca-state.gov,,,,,,,
1069,王杰,I,M,9/14/93,12 Constitution Street ,,,,,,,NATIONAL_ID,832721,,1/26/18,Active,100,
1071,王伟,I,F,9/14/97,"169 3rd Ave. Camden, NJ 08030",,,,,,,NATIONAL_ID,7123833,China,1/28/18,Active,300,
1073,张伟,I,M,8/2/06,"173 John Lane, Camden, NJ 08030",,,,,,,,,,1/30/18,Active,500,
1075,张秀英,I,F,2/4/31,"329 Leatherwood Street, Las Vegas, 89117",,,,,,,,,,1/2/18,Active,700,
1077,刘杰,I,F,6/25/08,37 Campfire St. ,,,,,,,,,,1/4/18,Active,900,
