emp_num,last_name,first_name,middle_name,addr1,city,state,zip,home_phone,dob,ssn,job_category,job_title,hire_date,salary,rehire_flag,employer_name,employer_addr,id_type,id_number,id_country,manager_id,sherrifs_card
27,Neal,Lisa,E,2928 Modoc Alley,Meridian,ID,83642,302-9992,9/13/66,519-65-1042,key executive,President,1/10/10,50k,null,BBB Business,"333 Third St, Anytown USA",,,,,
28,Gravelle,Scott,C,4295 Kenwood Place,Fort Lauderdale,FL,33306,954-563-4561,12/11/78,267-34-2087,key executive,President and CEO ,2/20/12,100k,null,BBB Business,"333 Third St, Anytown USA",,,,,
29,Genovese,Joseph,M,303 Adams Drive,Houston,TX,77060,979-318-7197,7/26/40,455-08-8964,former executive,Vice president of marketing division (former),3/13/13,75k,null,BBB Business,"333 Third St, Anytown USA",,,,,
30,Strickland,Hubert,T,3094 Foley Street,Ft Lauderdale,FL,33311,954-651-9219,8/15/66,766-48-5761,Sales person,Inside sales leader,1/10/10,50k,null,BBB Business,"333 Third St, Anytown USA",,,,,
31,Leblanc,Darin,A,1346 Emerson Road,Calhoun,LA,71225,318-644-0836,8/10/77,662-12-1743,management,Level 1 manager,2/20/12,100k,null,BBB Business,"333 Third St, Anytown USA",,,,,
32,Henderson,Benita,J,3169 Riverwood Drive,Redding,CA,96001,530-354-8708,4/27/66,549-68-6648,management,Level 2 manage,3/13/13,75k,null,BBB Business,"333 Third St, Anytown USA",,,,,
33,Farrell,Jennifer,C,448 Airplane Avenue,Wallingford,CT,6492,860-881-7944,11/14/42,041-46-2515,sales,Senior sales person,1/10/10,50k,null,BBB Business,"333 Third St, Anytown USA",,,,,
34,Escobedo,Nicole,J,3612 Nancy Street,Mebane,NC,27302,919-568-9421,3/12/44,686-09-6494,sales,Senior sales person,2/20/12,100k,null,BBB Business,"333 Third St, Anytown USA",,,,,
35,Kendrick,Lawrence,H,2897 Tuna Street,Bloomfield Township,MI,48302,810-820-3648,9/25/71,383-18-5252,sales,Junior sales person,3/13/13,75k,null,ABC Company,"111 First St, anytown USA",,,,,
36,Cullum,Karen,C,1705 Oak Drive,Ticonderoga,NY,12883,518-585-6813,6/5/71,123-14-9271,sales,Junior sales person,3/14/13,75k,null,ABC Company,"111 First St, anytown USA",,,,,
37,Garcia,Michael,V,4094 Hilltop Street,Wilbraham,MA,1095,413-596-8997,11/15/49,024-56-2346,sales,Junior sales person,3/15/13,75k,null,ABC Company,"111 First St, anytown USA",,,,,
38,Fairweather,Jennifer,H,1247 Lucy Lane,Evansville,IN,47714,812-469-2613,8/4/85,309-25-6689,sales,Head of sales,3/16/13,75k,null,ABC Company,"111 First St, anytown USA",,,,,
39,Parks,Judith,M,3740 Sycamore Fork Road,Pompano Beach,FL,33064,954-214-3882,5/6/74,592-09-3571,accounting,Bookkeeper I,3/17/13,75k,null,ABC Company,"111 First St, anytown USA",,,,,
40,Lochner,Belinda,W,913 Cliffside Drive,Syracuse,NY,13224,607-345-1594,7/17/52,091-60-3273,accounting,Bookkeeper II,3/18/13,75k,null,ABC Company,"111 First St, anytown USA",,,,,
